Наименование услуги; Главное изображение; Длительность; Стоимость; Действующая скидка
Замена лямбда зонда; Услуги автосервиса\Выхлопная система.jpg; 270 мин.; 770 руб.; 5%
Замена привода в сборе; Услуги автосервиса\transmission.jpg; 8 час.; 3890 руб.; 15%
Замена трубки кондиционера; Услуги автосервиса\Кондиционер.jpg; 3 час.; 2810 руб.; 15%
Замена ремня кондиционера; Услуги автосервиса\Кондиционер.jpg; 8 час.; 4650 рублей; нет
Замена охлаждающей жидкости; Услуги автосервиса\Техническое обслуживание.png; 210 мин.; 1590 рублей; нет
Замена троса сцепления; Услуги автосервиса\Сцепление.jpg; 8 час.; 4460; 5%
Замена масла в МКПП; Услуги автосервиса\КПП.png; 9 час.; 4490 руб.; 20%
Замена рулевой рейки; Услуги автосервиса\rulevoe-upravlenie-avtomobilya.jpg; 570 мин.; 4840₽; 25%
Ремонт дисков; Услуги автосервиса\Шиномонтаж.jpg; 270 мин.; 3860 руб.; 10%
Замена масла заднего редуктора (моста); Услуги автосервиса\transmission.jpg; 7 час.; 840; 25%
Замена подшипника задней ступицы; Услуги автосервиса\transmission.jpg; 270 мин.; 1860; 25%
Восстановление рулевых реек; Услуги автосервиса\Подвеска.png; 2 час.; 1020₽; 20%
Замена рулевой тяги; Услуги автосервиса\rulevoe-upravlenie-avtomobilya.jpg; 3 час.; 570 руб.; нет
Ремонт и замена гидроблока АКПП; Услуги автосервиса\АКПП.jpg; 270 мин.; 2040; нет
Замена масла раздаточной коробки; Услуги автосервиса\transmission.jpg; 510 мин.; 2070₽; нет
Диагностика кондиционера; Услуги автосервиса\Кондиционер.jpg; 10 час.; 2590 руб.; 10%
Ремонт и замена катализатора; Услуги автосервиса\Выхлопная система.jpg; 270 мин.; 500 руб.; 25%
Замена гофры глушителя; Услуги автосервиса\Выхлопная система.jpg; 270 мин.; 760; 25%
Замена ремня ГРМ; Услуги автосервиса\Двигатель.png; 150 мин.; 4630₽; 25%
Ремонт редуктора; Услуги автосервиса\КПП.png; 8 час.; 870₽; 15%
Замена электромагнитного клапана без снятия ТНВД; Услуги автосервиса\diz.jpg; 450 мин.; 4610; 10%
Вулканизация шин; Услуги автосервиса\Шиномонтаж.jpg; 330 мин.; 540 рублей; 20%
Ремонт стартера; Услуги автосервиса\Электрика.png; 8 час.; 2680 руб.; нет
Ремонт коробки передач; Услуги автосервиса\КПП.png; 450 мин.; 1850 руб.; 25%
Жидкостная промывка топливной системы; Услуги автосервиса\Топливная система.png; 6 час.; 3620 руб.; 15%
Ремонт генератора; Услуги автосервиса\Электрика.png; 210 мин.; 1700; 20%
Замена масла АКПП; Услуги автосервиса\АКПП.jpg; 450 мин.; 2430; 25%
Диагностика трансмиссии; Услуги автосервиса\transmission.jpg; 2 час.; 2790₽; 20%
Монтаж и снятие шин с диска; Услуги автосервиса\Шиномонтаж.jpg; 10 час.; 3990 руб.; 15%
Замена подшипника передней ступицы; Услуги автосервиса\transmission.jpg; 330 мин.; 4020₽; 15%
Замена главного цилиндра сцепления; Услуги автосервиса\Сцепление.jpg; 150 мин.; 4910; 5%
Установка автомагнитолы; Услуги автосервиса\Электрика.png; 270 мин.; 3210₽; нет
Диагностика рулевых тяг; Услуги автосервиса\rulevoe-upravlenie-avtomobilya.jpg; 3 час.; 1680 рублей; 5%
Замена радиатора кондиционера; Услуги автосервиса\Кондиционер.jpg; 9 час.; 1770 рублей; нет
Замена тормозной жидкости; Услуги автосервиса\Техническое обслуживание.png; 6 час.; 2200 руб.; 10%
Ремонт рулевого управления; Услуги автосервиса\Подвеска.png; 2 час.; 3440; 20%
Замена заднего редуктора; Услуги автосервиса\transmission.jpg; 330 мин.; 2240; 25%
Дефектация CVT; Услуги автосервиса\Вариатор.jpg; 3 час.; 1830 рублей; 5%
Замена карданного вала; Услуги автосервиса\transmission.jpg; 2 час.; 4450 руб.; нет
Замена сцепления; Услуги автосервиса\КПП.png; 330 мин.; 4320₽; нет
Установка системы автозапуска; Услуги автосервиса\Электрика.png; 9 час.; 3620₽; нет
Замена опоры АКПП; Услуги автосервиса\АКПП.jpg; 5 час.; 2540; 10%
Ремонт бензонасоса; Услуги автосервиса\Топливная система.png; 210 мин.; 500₽; 15%
Замена масла переднего редуктора (моста); Услуги автосервиса\transmission.jpg; 9 час.; 3950 руб.; 5%
Ремонт подвесного подшипника; Услуги автосервиса\transmission.jpg; 7 час.; 4440₽; 25%
Тестирование форсунок (стенд); Услуги автосервиса\Топливная система.png; 6 час.; 1600 руб.; нет
Диагностика сцепления; Услуги автосервиса\Сцепление.jpg; 6 час.; 4210; 20%
Замена ступицы в сборе; Услуги автосервиса\transmission.jpg; 150 мин.; 4250 рублей; 20%
Антибактериальная обработка кондиционера; Услуги автосервиса\Кондиционер.jpg; 450 мин.; 4580 руб.; 20%
Ремонт глушителя; Услуги автосервиса\Выхлопная система.jpg; 150 мин.; 2100; 25%
Диагностика рулевого редуктора; Услуги автосервиса\rulevoe-upravlenie-avtomobilya.jpg; 3 час.; 2930₽; 10%
Диагностика подвески; Услуги автосервиса\Подвеска.png; 330 мин.; 1460 руб.; нет
Замена свечей; Услуги автосервиса\Техническое обслуживание.png; 2 час.; 2240; 10%
Диагностика инжектора; Услуги автосервиса\Топливная система.png; 330 мин.; 3390₽; 5%
Комплексная диагностика автомобиля; Услуги автосервиса\Техническое обслуживание.png; 10 час.; 1120; нет
Ремонт раздаточной коробки; Услуги автосервиса\КПП.png; 10 час.; 3610 рублей; 5%
Удаление катализатора; Услуги автосервиса\Дополнительные услуги.png; 510 мин.; 1930 руб.; 10%
Снятие/установка форсунок; Услуги автосервиса\diz.jpg; 5 час.; 1470 рублей; 25%
Развал-схождение; Услуги автосервиса\Подвеска.png; 3 час.; 3890; нет
Замена выжимного подшипника; Услуги автосервиса\Сцепление.jpg; 10 час.; 2250; 5%
Чистка форсунок ультразвуком; Услуги автосервиса\Топливная система.png; 4 час.; 3920₽; 5%
Ремонт компрессора кондиционера; Услуги автосервиса\Кондиционер.jpg; 150 мин.; 4760; 25%
Замена цилиндра сцепления; Услуги автосервиса\Сцепление.jpg; 8 час.; 810₽; 25%
Ремонт подвески (ходовой); Услуги автосервиса\Подвеска.png; 3 час.; 680₽; 5%
Замена фильтров; Услуги автосервиса\Техническое обслуживание.png; 210 мин.; 530₽; 15%
Кузовной ремонт; Услуги автосервиса\Дополнительные услуги.png; 150 мин.; 2750 руб.; 5%
Замена прокладки приемной трубки; Услуги автосервиса\Выхлопная система.jpg; 570 мин.; 4680₽; 20%
Диагностика выхлопной системы автомобиля; Услуги автосервиса\Выхлопная система.jpg; 3 час.; 2550 руб.; 25%
Балансировка колес; Услуги автосервиса\Шиномонтаж.jpg; 390 мин.; 4690 рублей; 25%
Ремонт автоэлектрики; Услуги автосервиса\Электрика.png; 450 мин.; 4230₽; 10%
ТО с сохранением гарантии; Услуги автосервиса\Техническое обслуживание.png; 270 мин.; 4300₽; 20%
Ремонт карданного вала; Услуги автосервиса\transmission.jpg; 210 мин.; 780; 5%
Ремонт сцепления; Услуги автосервиса\КПП.png; 10 час.; 3290 руб.; 25%
Замена кулисы АКПП; Услуги автосервиса\АКПП.jpg; 6 час.; 3250₽; 10%
Ремонт кронштейна глушителя; Услуги автосервиса\Выхлопная система.jpg; 570 мин.; 1410; нет
Замена сальника привода; Услуги автосервиса\transmission.jpg; 570 мин.; 3820₽; 15%
Замена пыльника шруса; Услуги автосервиса\rulevoe-upravlenie-avtomobilya.jpg; 5 час.; 4730 руб.; нет
Замена маховика; Услуги автосервиса\Сцепление.jpg; 10 час.; 2400₽; 25%
